iter	Passed	Remaining
0	148	148789
1	180	89894
2	205	68423
3	246	61406
4	345	68738
5	386	63965
6	414	58818
7	437	54189
8	457	50394
9	478	47418
10	595	53583
11	629	51860
12	658	50032
13	680	47908
14	701	46038
15	739	45471
16	829	47937
17	865	47228
18	892	46094
19	918	44983
20	938	43753
21	1003	44618
22	1079	45866
23	1160	47176
24	1191	46479
25	1219	45665
26	1242	44766
27	1264	43884
28	1292	43278
29	1392	45008
30	1429	44683
31	1451	43906
32	1471	43121
33	1490	42351
34	1616	44582
35	1650	44201
36	1673	43562
37	1695	42924
38	1715	42271
39	1733	41615
40	1826	42711
41	1868	42625
42	1910	42529
43	1936	42077
44	2064	43822
45	2116	43902
46	2141	43425
47	2163	42913
48	2184	42391
49	2230	42378
50	2304	42879
51	2335	42578
52	2363	42236
53	2389	41852
54	2407	41365
55	2459	41468
56	2545	42112
57	2580	41909
58	2615	41711
59	2661	41693
60	2691	41431
61	2717	41116
62	2819	41931
63	2863	41872
64	2892	41610
65	2918	41304
66	2941	40958
67	2960	40578
68	3041	41035
69	3086	41004
70	3118	40800
71	3143	40509
72	3164	40186
73	3187	39886
74	3231	39853
75	3272	39789
76	3302	39582
77	3339	39471
78	3435	40047
79	3461	39807
80	3486	39554
81	3507	39264
82	3578	39532
83	3666	39977
84	3697	39798
85	3719	39530
86	3740	39255
87	3760	38967
88	3827	39175
89	3899	39424
90	3931	39269
91	3957	39055
92	3979	38813
93	3999	38552
94	4048	38568
95	4124	38838
96	4157	38704
97	4184	38510
98	4206	38286
99	4227	38048
100	4266	37974
101	4363	38419
102	4398	38307
103	4428	38155
104	4452	37956
105	4471	37708
106	4534	37842
107	4610	38080
108	4645	37975
109	4670	37790
110	4692	37584
111	4714	37376
112	4777	37501
113	4848	37682
114	4879	37554
115	4905	37381
116	4928	37199
117	4947	36981
118	5007	37073
119	5078	37240
120	5108	37107
121	5131	36931
122	5150	36724
123	5172	36541
124	5232	36627
125	5297	36743
126	5328	36627
127	5354	36478
128	5377	36306
129	5396	36114
130	5451	36164
131	5537	36415
132	5570	36312
133	5597	36177
134	5620	36015
135	5642	35846
136	5745	36189
137	5789	36165
138	5821	36058
139	5844	35899
140	5867	35747
141	5910	35711
142	6004	35984
143	6040	35908
144	6070	35792
145	6093	35640
146	6115	35485
147	6148	35396
148	6248	35688
149	6280	35591
150	6306	35459
151	6329	35309
152	6349	35152
153	6379	35045
154	6488	35372
155	6531	35335
156	6556	35205
157	6579	35064
158	6601	34915
159	6750	35441
160	6782	35342
161	6805	35205
162	6828	35064
163	6877	35057
164	6958	35216
165	6983	35085
166	7007	34955
167	7062	34975
168	7154	35181
169	7187	35092
170	7214	34974
171	7240	34853
172	7265	34731
173	7372	34996
174	7413	34950
175	7444	34853
176	7467	34722
177	7490	34593
178	7573	34736
179	7630	34761
180	7653	34629
181	7673	34489
182	7733	34525
183	7824	34699
184	7848	34574
185	7868	34434
186	7889	34298
187	7990	34512
188	8028	34450
189	8059	34358
190	8084	34240
191	8119	34168
192	8175	34186
193	8263	34332
194	8294	34241
195	8320	34131
196	8343	34008
197	8362	33871
198	8425	33912
199	8505	34020
200	8538	33941
201	8564	33834
202	8586	33711
203	8607	33586
204	8712	33786
205	8746	33712
206	8772	33605
207	8795	33489
208	8817	33371
209	8925	33576
210	8953	33480
211	8977	33369
212	8998	33248
213	9112	33467
214	9141	33376
215	9165	33269
216	9188	33155
217	9208	33032
218	9305	33184
219	9344	33131
220	9372	33035
221	9395	32926
222	9424	32837
223	9538	33045
224	9566	32950
225	9592	32850
226	9613	32736
227	9673	32752
228	9762	32867
229	9796	32798
230	9820	32693
231	9845	32591
232	9866	32479
233	9938	32535
234	10014	32600
235	10046	32523
236	10071	32425
237	10094	32317
238	10134	32269
239	10228	32388
240	10269	32343
241	10296	32251
242	10319	32147
243	10341	32040
244	10399	32048
245	10487	32144
246	10517	32062
247	10547	31983
248	10571	31884
249	10595	31785
250	10707	31950
251	10754	31921
252	10783	31837
253	10805	31737
254	10833	31651
255	10945	31809
256	10975	31730
257	10997	31629
258	11056	31631
259	11141	31709
260	11181	31658
261	11204	31559
262	11226	31460
263	11249	31361
264	11343	31461
265	11391	31434
266	11425	31366
267	11451	31277
268	11472	31175
269	11535	31188
270	11619	31256
271	11657	31200
272	11681	31107
273	11702	31007
274	11731	30927
275	11840	31059
276	11868	30977
277	11893	30888
278	11915	30791
279	11952	30735
280	12059	30857
281	12091	30786
282	12117	30700
283	12139	30604
284	12160	30506
285	12195	30446
286	12285	30521
287	12335	30496
288	12362	30414
289	12383	30317
290	12403	30220
291	12475	30249
292	12535	30247
293	12560	30162
294	12583	30073
295	12663	30119
296	12729	30130
297	12761	30061
298	12788	29982
299	12812	29895
300	12858	29859
301	12950	29930
302	12980	29858
303	13006	29777
304	13026	29684
305	13062	29625
306	13133	29645
307	13179	29611
308	13205	29530
309	13226	29439
310	13258	29373
311	13354	29449
312	13390	29390
313	13415	29308
314	13437	29222
315	13458	29130
316	13501	29090
317	13591	29149
318	13631	29099
319	13656	29020
320	13680	28938
321	13701	28850
322	13786	28897
323	13827	28850
324	13852	28770
325	13875	28686
326	13976	28765
327	14010	28703
328	14035	28624
329	14065	28557
330	14184	28669
331	14216	28604
332	14246	28535
333	14270	28455
334	14294	28375
335	14363	28385
336	14425	28381
337	14452	28306
338	14476	28227
339	14501	28149
340	14603	28221
341	14664	28214
342	14692	28141
343	14717	28066
344	14741	27987
345	14772	27923
346	14875	27993
347	14909	27933
348	14937	27862
349	14961	27785
350	14983	27704
351	15085	27771
352	15118	27710
353	15143	27635
354	15167	27557
355	15275	27632
356	15305	27567
357	15329	27490
358	15356	27420
